BDS,ZRH,1065
BOD,ZRH,771
BRS,ZRH,923
GVA,LPA,2771
LCA,ZRH,2505
LPA,ZRH,3001
RMF,ZRH,3337
TFS,GVA,2832
ZRH,BDS,1065
ZRH,BOD,771
ZRH,BRS,923
ZRH,LCA,2505
ZRH,LPA,3001
ZRH,RMF,3337
AJR,LYC,119
ARN,GEV,844
ARN,HAD,444
ARN,JKG,306
ARN,KRF,378
ARN,KSD,259
ARN,LYC,546
ARN,MHQ,122
ARN,OER,422
ARN,POR,292
ARN,TRF,436
ARN,VBY,223
ARN,VHM,551
ARN,VXO,355
GEV,ARN,844
GEV,KRF,476
HAD,ARN,444
HAD,JKG,140
HAD,VXO,119
HMV,VHM,159
JKG,ARN,306
JKG,HAD,140
KOK,POR,260
KRF,ARN,378
KRF,GEV,476
KSD,ARN,259
LYC,AJR,119
LYC,ARN,546
MHQ,ARN,122
MHQ,TKU,137
OER,ARN,422
OSL,VXO,419
POR,ARN,292
POR,KOK,260
TKU,MHQ,137
TRF,ARN,436
VBY,ARN,223
VHM,ARN,551
VHM,HMV,159
VXO,ARN,355
VXO,OSL,419
ADQ,KLN,91
KLN,KYK,28
BSO,MNL,669
BXU,MNL,786
CBO,MNL,888
CRM,MNL,450
DGT,MNL,627
DWC,MNL,6929
GES,MNL,1040
KLO,MNL,347
LGP,MNL,329
MNL,BSO,669
MNL,BXU,786
MNL,CBO,888
MNL,CRM,450
MNL,DGT,627
MNL,DWC,6929
MNL,GES,1040
MNL,KLO,347
MNL,LGP,329
MNL,MPH,305
MNL,OZC,768
MNL,PPS,584
MNL,RXS,374
MNL,SUG,717
MNL,TUG,357
MNL,ZAM,851
MPH,MNL,305
OZC,MNL,768
PPS,MNL,584
RXS,MNL,374
SUG,MNL,717
TUG,MNL,357
ZAM,MNL,851
AUX,PMW,341
BRA,BSB,526
BRA,SSA,732
BSB,BRA,526
BSB,OPS,938
BSB,RAO,586
CAC,GRU,733
CGB,GYN,745
CGB,OPS,423
CGR,DOU,195
DOU,CGR,195
DOU,GRU,877
GIG,RAO,502
GRU,CAC,733
GRU,DOU,877
GRU,RAO,289
GRU,UBA,436
GRU,UDI,538
GRU,VDC,1120
GYN,CGB,745
GYN,PMW,711
GYN,RAO,523
GYN,UDI,272
OPS,BSB,938
OPS,CGB,423
PLU,RAO,423
PMW,AUX,341
PMW,GYN,711
RAO,BSB,586
RAO,GIG,502
RAO,GRU,289
RAO,GYN,523
RAO,PLU,423
RAO,SJP,173
RAO,UDI,255
SJP,RAO,173
SSA,BRA,732
SSA,VDC,350
UBA,GRU,436
UBA,UDI,102
UDI,GRU,538
UDI,GYN,272
UDI,RAO,255
UDI,UBA,102
VDC,GRU,1120
VDC,SSA,350
BRL,ORD,300
BRL,STL,235
DEC,ORD,252
DEC,STL,177
JBR,STL,325
ORD,BRL,300
ORD,DEC,252
STL,BRL,235
STL,DEC,177
STL,JBR,325
ACC,DKR,2149
ACC,LOS,401
ACC,ROB,1130
BCN,BJL,3600
BJL,BCN,3600
BJL,DKR,180
BJL,FNA,646
CKY,OXB,341
DKR,ACC,2149
DKR,BJL,180
DKR,DLA,3210
DKR,FNA,826
DKR,LOS,2446
DKR,OXB,374
DLA,DKR,3210
DLA,LOS,764
FNA,BJL,646
FNA,DKR,826
FNA,LGW,4877
FNA,ROB,410
LGW,FNA,4877
LOS,ACC,401
LOS,DKR,2446
LOS,DLA,764
LOS,ROB,1512
OXB,CKY,341
OXB,DKR,374
ROB,ACC,1130
ROB,FNA,410
ROB,LOS,1512
AKV,YIK,178
AKV,YPX,98
XGR,YVP,157
YGL,YGW,184
YGL,YPX,715
YGL,YUL,950
YGW,YGL,184
YGW,YPH,355
YGW,YSK,167
YGW,YUD,160
YGW,YUL,1127
YGW,YUY,790
YIK,AKV,178
YIK,YZG,120
YKG,YPJ,84
YKG,YQC,115
YKG,YVP,233
YKL,YQB,947
YKL,YVP,379
YKL,YWK,209
YKL,YZV,511
YPH,YPX,181
YPH,YUD,235
YPH,YVP,565
YPJ,YKG,84
YPJ,YTQ,73
YPJ,YVP,150
YPX,AKV,98
YPX,YGL,715
YPX,YPH,181
YPX,YVP,550
YQB,YKL,947
YQB,YUL,233
YQC,YKG,115
YQC,YWB,137
YSK,YGW,167
YSK,YUD,167
YTQ,YPJ,73
YTQ,YVP,109
YUD,YGW,160
YUD,YPH,235
YUD,YSK,167
YUL,YGL,950
YUL,YGW,1127
YUL,YQB,233
YUL,YUY,492
YUY,YGW,790
YUY,YUL,492
YVP,XGR,157
YVP,YGW,650
YVP,YKG,233
YVP,YKL,379
YVP,YPH,565
YVP,YPJ,150
YVP,YPX,550
YVP,YTQ,109
YWB,YQC,137
YWB,YZG,207
YWK,YKL,209
YWK,YZV,303
YZG,YIK,120
YZG,YWB,207
YZV,YKL,511
YZV,YWK,303
JIB,DXB,1992
JIB,JED,1204
JIB,MGQ,1086
